year,feature,name,resid,resid_sq
2009,warm_edge,DRM T-recruit,-0.04587453630924935,0.002104473081588637
2009,warm_edge,DRM null,-0.37897178545844784,0.1436196141735638
2010,centroid,DRM T-mortality,0.03201707139590132,0.0010250928607702424
2010,centroid,DRM T-movement,0.5535783547292347,0.3064489948247264
2010,centroid,DRM T-recruit,-0.08928746193743203,0.007972250859228374
2010,centroid,DRM null,1.3858139963959013,1.9204804326067793
2010,cold_edge,DRM T-mortality,-0.8043848594126534,0.6470350020523141
2010,cold_edge,DRM T-movement,1.4847708611085224,2.204544509996943
2010,cold_edge,DRM T-recruit,-0.7317630949756722,0.5354772271683745
2010,cold_edge,DRM null,2.220302512457024,4.929743246822974
2010,warm_edge,DRM T-mortality,1.2370816776444968,1.5303710771637227
2010,warm_edge,DRM T-movement,0.6955937267871029,0.48385063274557066
2010,warm_edge,DRM T-recruit,0.7404259704814994,0.5482306177634702
2010,warm_edge,DRM null,0.27849467267822364,0.07755928271015093
2011,centroid,DRM T-mortality,-0.7557467137057677,0.5711530952770677
2011,centroid,DRM T-movement,-0.6745795303724345,0.4550575427974942
2011,centroid,DRM T-recruit,-0.9424842220391011,0.8882765087926496
2011,centroid,DRM null,0.3113226112942323,0.09692176830305964
2011,cold_edge,DRM T-mortality,-0.4393837456937347,0.1930580759798565
2011,cold_edge,DRM T-movement,1.0927074484230905,1.194009567839301
2011,cold_edge,DRM T-recruit,-0.501930070647487,0.25193379582019126
2011,cold_edge,DRM null,2.3566931352981744,5.5540025339615395
2011,warm_edge,DRM T-mortality,-0.4105619048164145,0.16856107768648262
2011,warm_edge,DRM T-movement,-1.392127391943295,1.9380186753988407
2011,warm_edge,DRM T-recruit,-0.9059341062147728,0.8207166048031592
2011,warm_edge,DRM null,-1.5446845735819499,2.38605043186205
2012,centroid,DRM T-mortality,-0.009299553094828052,8.6481687763526e-5
2012,centroid,DRM T-movement,0.10277479690517193,0.010562658878899336
2012,centroid,DRM T-recruit,-0.24220748642816142,0.058664466481848
2012,centroid,DRM null,1.0019958052385052,1.0039955937155605
2012,cold_edge,DRM T-mortality,-0.600951635922,0.361142868717328
2012,cold_edge,DRM T-movement,0.6062922541284684,0.3675902974161793
2012,cold_edge,DRM T-recruit,-0.708730132756468,0.5022984010770007
2012,cold_edge,DRM null,2.0809691848127563,4.330432748140267
2012,warm_edge,DRM T-mortality,0.7266837209225807,0.5280692302538872
2012,warm_edge,DRM T-movement,0.36512706607979034,0.13331777438403558
2012,warm_edge,DRM T-recruit,0.28543319208765683,0.0814721071453492
2012,warm_edge,DRM null,-0.36964684221428845,0.13663878795899506
2013,centroid,DRM T-mortality,-0.5086842933503715,0.2587597103013668
2013,centroid,DRM T-movement,-0.7170317766837048,0.5141345687741903
2013,centroid,DRM T-recruit,-0.7704594850170381,0.5936078180527196
2013,centroid,DRM null,0.36741696498296184,0.134995226157291
2013,cold_edge,DRM T-mortality,-0.25286238431323377,0.06393938540057353
2013,cold_edge,DRM T-movement,1.0318066175038745,1.0646248959247868
2013,cold_edge,DRM T-recruit,-0.40209865158059127,0.16168332560292972
2013,cold_edge,DRM null,2.230216169406064,4.973864162280257
2013,warm_edge,DRM T-mortality,-0.06905451660172016,0.004768526263097245
2013,warm_edge,DRM T-movement,-1.201949846305933,1.4446834330348561
2013,warm_edge,DRM T-recruit,-0.4326829011991025,0.1872144929900723
2013,warm_edge,DRM null,-1.1118079299544619,1.2361168731096257
2014,centroid,DRM T-mortality,0.34690055234584594,0.12033999321785299
2014,centroid,DRM T-movement,0.5186370023458459,0.26898434020228496
2014,centroid,DRM T-recruit,0.02407468567917924,5.795904905512779e-4
2014,centroid,DRM null,1.3873736440125126,1.924805628100558
2014,cold_edge,DRM T-mortality,0.11668074789005226,0.013614396928181933
2014,cold_edge,DRM T-movement,1.289193263901105,1.6620192716879842
2014,cold_edge,DRM T-recruit,-0.04345146551840207,0.0018880298556968843
2014,cold_edge,DRM null,2.578018539494059,6.64617958997508
2014,warm_edge,DRM T-mortality,0.13758451079203693,0.018929497609884126
2014,warm_edge,DRM T-movement,0.004245152337397311,1.8021318367709853e-5
2014,warm_edge,DRM T-recruit,-0.33834050813576466,0.11447429944556743
2014,warm_edge,DRM null,-0.49550750053854387,0.24552768308995504
2015,centroid,DRM T-mortality,0.14907171684619255,0.02222237676347141
2015,centroid,DRM T-movement,0.060191591846192535,0.003623027728978632
2015,centroid,DRM T-recruit,-0.36839147482047413,0.13571227872040403
2015,centroid,DRM null,0.8575830418461926,0.7354486736621685
2015,cold_edge,DRM T-mortality,0.4766949654483753,0.22723809008382773
2015,cold_edge,DRM T-movement,1.2752540545638746,1.6262729036816017
2015,cold_edge,DRM T-recruit,0.23343757494842093,0.05449310139779964
2015,cold_edge,DRM null,2.7567128606193214,7.599465795903963
2015,warm_edge,DRM T-mortality,-0.15921349329498108,0.025348936447190985
2015,warm_edge,DRM T-movement,-0.3378168875443871,0.11412024951017707
2015,warm_edge,DRM T-recruit,-0.9140585004208607,0.8355029421916326
2015,warm_edge,DRM null,-1.0653547056663608,1.1349806488854584
2016,centroid,DRM T-mortality,0.908298661737827,0.8250064589147276
2016,centroid,DRM T-movement,0.6490313867378271,0.4212417409708269
2016,centroid,DRM T-recruit,0.2988549200711604,0.08931426325073966
2016,centroid,DRM null,1.359266111737827,1.847604362518871
2016,cold_edge,DRM T-mortality,-0.09663877791309644,0.009339053396536777
2016,cold_edge,DRM T-movement,1.1056086916375265,1.2223705790244432
2016,cold_edge,DRM T-recruit,-0.3053371241415114,0.09323075937900872
2016,cold_edge,DRM null,2.1735696490307213,4.724405019187532
2016,warm_edge,DRM T-mortality,0.6434802839163201,0.4140668757890279
2016,warm_edge,DRM T-movement,-0.470929778243007,0.22177485603600777
2016,warm_edge,DRM T-recruit,-0.4796839012291033,0.23009664509837213
2016,warm_edge,DRM null,-0.7168355993368791,0.5138532764766627
2007,warm_edge,GAM,-0.4441602600810839,0.1972783366352961
2007,centroid,GAM,-0.7694624740562475,0.5920724989807613
2007,cold_edge,GAM,1.4534331162383083,2.1124678233782
2009,warm_edge,GAM,-0.43930162567452413,0.19298591832027973
2009,centroid,GAM,-0.20699092100164762,0.04284524137711033
2009,cold_edge,GAM,1.6899645219854946,2.8559800855696613
2010,warm_edge,GAM,-0.19371198849702864,0.03752433448747296
2010,centroid,GAM,-0.36499401930322506,0.13322063412712304
2010,cold_edge,GAM,1.3502604987590772,1.8232034145091118
2011,warm_edge,GAM,-2.01583577104023,4.063593855805358
2011,centroid,GAM,-1.5671336415330757,2.4559078504247185
2011,cold_edge,GAM,0.929058755617092,0.8631501713887794
2012,warm_edge,GAM,-0.8168461360770038,0.6672376100239311
2012,centroid,GAM,-0.8878355894769143,0.78825203394182
2012,cold_edge,GAM,1.1734184928176816,1.3769109592865196
2013,warm_edge,GAM,-1.5447858490516637,2.3863633194302696
2013,centroid,GAM,-1.0619483615306748,1.1277343225576848
2013,cold_edge,GAM,2.0691160706421314,4.2812413137895335
2014,warm_edge,GAM,-0.6944516384119197,0.4822630780929997
2014,centroid,GAM,0.5038497810995679,0.2538646019140825
2014,cold_edge,GAM,1.9458499502959867,3.786332029066894
2015,warm_edge,GAM,-1.4592919238923372,2.129532919137399
2015,centroid,GAM,-0.38303577295828717,0.1467164033657525
2015,cold_edge,GAM,2.136611896842979,4.565110397730952
2016,warm_edge,GAM,-1.1432367563679193,1.3069902811106413
2016,centroid,GAM,0.06802706145636961,0.004627681090388688
2016,cold_edge,GAM,1.4774279947211966,2.182793479585896
2007,warm_edge,Persistence,0.5839006065637449,0.3409399183455092
2007,centroid,Persistence,-0.019725850892264418,3.8910919342384894e-4
2007,cold_edge,Persistence,-0.13828977789451358,0.019124062670113896
2008,warm_edge,Persistence,0.8858117235947915,0.7846624096579754
2008,centroid,Persistence,0.11913795713081043,0.014193852829302824
2008,cold_edge,Persistence,0.45613146105040414,0.20805590975997634
2009,warm_edge,Persistence,1.03750425786221,1.0764150850822152
2009,centroid,Persistence,0.717380514085157,0.5146348019890842
2009,cold_edge,Persistence,0.5558894392250693,0.309013068641962
2010,warm_edge,Persistence,1.7018499910727272,2.8962933921142415
2010,centroid,Persistence,0.7432008075070016,0.5523474402790592
2010,cold_edge,Persistence,-0.08049102732928048,0.006478805480522978
2011,warm_edge,Persistence,-0.1188491833748273,0.014125128388863328
2011,centroid,Persistence,-0.3261049359280008,0.10634442923660553
2011,cold_edge,Persistence,0.06013864579688999,0.0036166567182837938
2012,warm_edge,Persistence,1.0763643089671078,1.1585601256182394
2012,centroid,Persistence,0.3546655163496055,0.1257876284875323
2012,cold_edge,Persistence,-0.2274530142779767,0.05173487370413748
2013,warm_edge,Persistence,0.3036164360071467,0.09218294021368181
2013,centroid,Persistence,-0.2843619322392712,0.08086170850685187
2013,cold_edge,Persistence,-0.0616143327118337,0.00379632599552454
2014,warm_edge,Persistence,0.9135830834520249,0.8346340503697095
2014,centroid,Persistence,0.7236975384569462,0.5237381271686431
2014,cold_edge,Persistence,0.27226978670585567,0.07413083675285213
2015,warm_edge,Persistence,0.3538530266870197,0.12521196449556465
2015,centroid,Persistence,0.20267200295729282,0.04107594078272091
2015,cold_edge,Persistence,0.46168456620929277,0.21315263867586284
2016,warm_edge,Persistence,0.6962638260732135,0.48478331549811005
2016,centroid,Persistence,0.6931639561822607,0.480476270150243
2016,cold_edge,Persistence,-0.13430798104538155,0.01803863377248657
