id,successful_chains,mean_divergences,low_ebfmi
v0.13,4,0.014416666666666666,FALSE
v0.39,4,0.030166666666666668,FALSE
v0.40,4,0.007916666666666667,FALSE
v0.41,4,0.0445,FALSE
